GRUPO,ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Sodio (mg),Azúcares por equivalente (g),Indica glicémico (g),Carga glicémica
AZUCARES SIN GRASA,Café capuchino instantáneo,2,cucharadita,8,8,32,0.2,0.4,6.9,14.4,5.5,ND,ND
AZUCARES SIN GRASA,Cajeta,1 1/2,cucharadita,9,9,36,0.5,1.0,6.4,7.7,ND,ND,ND
AZUCARES SIN GRASA,Caramelo,2,pieza pequeña,12,12,47,0.0,0.0,11.8,4.6,7.5,ND,ND
AZUCARES SIN GRASA,Caramelo de mantequilla,2,pieza,11,11,45,0.0,0.4,10.8,4.8,10.8,ND,ND
AZUCARES SIN GRASA,Caramelo macizo,2,pieza pequeña,12,12,47,0.0,0.0,11.8,4.6,7.5,ND,ND
AZUCARES SIN GRASA,Caramelo salvavidas,4,pieza,10,10,40,0.0,0.0,10.0,0,10.0,70.0,7.0
AZUCARES SIN GRASA,Cáscara de naranja cristalizada,10,g,10,10,32,0.0,0.0,8.2,0.0,ND,ND,ND
AZUCARES SIN GRASA,Castaña,2,pieza,22,22,44,0.4,0.3,9.9,0.4,ND,ND,ND
AZUCARES SIN GRASA,Castaña con cáscara,2,pieza,30,18,39,0.4,0.4,8.3,0.5,ND,ND,ND
AZUCARES SIN GRASA,Castaña asada,12,g,12,12,44,0.6,0.5,9.4,4.4,ND,ND,ND
AZUCARES SIN GRASA,Chewy candy,1/2,pieza,13,13,44,0,0.2,10.5,26.1,7.2,ND,ND
AZUCARES SIN GRASA,Chicle,5,pieza,15,15,37,0.0,0.0,9.9,0.2,9.9,ND,ND
AZUCARES SIN GRASA,Chicle bajo en azúcar,6,pieza,12,12,32,0.0,0.0,11.4,0.8,ND,ND,ND
AZUCARES SIN GRASA,Chicloso,1,pieza,12,12,46,0.3,1.1,8.7,15.5,5.4,ND,ND
AZUCARES SIN GRASA,Chocolate en polvo sin azúcar,2,cucharadita,10,10,40,2.0,1.0,6.0,ND,4.0,51.0,3.1
AZUCARES SIN GRASA,Cococa en polvo,2,cucharadita,10,10,40,2.0,1.0,6.0,ND,4.0,51.0,3.1
AZUCARES SIN GRASA,Conos de helado,3,pieza,12,12,44,0.0,ND,11.1,ND,ND,ND,ND
AZUCARES SIN GRASA,Crazy dips sabor frutas,1,sobre,12,12,45,0.0,ND,12.0,0.0,ND,ND,ND
AZUCARES SIN GRASA,Cubierta de chocolate ,2,cucharadita,12,12,48,0.0,1.3,9.1,0.0,0.0,ND,ND
AZUCARES SIN GRASA,Cubierta de fresa,3,cucharadita,16,16,41,0.0,0.0,10.6,3.4,0.0,ND,ND
AZUCARES SIN GRASA,Cubierta de piña,3,cucharadita,16,16,40,0.0,0.0,10.6,9.9,0.0,ND,ND
AZUCARES SIN GRASA,Cueritos de fruta,1/2,pieza,11,11,39,0.0,0.3,9.0,33.3,5.2,99.0,8.9
AZUCARES SIN GRASA,Flan en polvo,1,cucharada,12,12,42,0.0,0.0,11.0,51.8,ND,ND,ND
AZUCARES SIN GRASA,Fruta cristalizada,15,g,15,15,45,0.5,0.1,11.0,0.0,11.0,103.0,11.4
AZUCARES SIN GRASA,Gatorade variedad de sabores,200,ml,200,200,46,0.0,0.0,11.6,91.6,11.6,ND,ND
AZUCARES SIN GRASA,Gelatina,1/3,taza,59,59,37,0.7,0.0,8.4,44.6,8.0,ND,ND
AZUCARES SIN GRASA,Gelatina de sabor en polvo,10,g,10,10,38,0.8,0.0,9.1,46.6,8.6,ND,ND
AZUCARES SIN GRASA,Gelatina en polvo para agua,10,g,10,10,38,0.8,0.0,9.1,46.6,8.6,ND,ND
AZUCARES SIN GRASA,Gelatina en polvo para leche,10,g,10,10,38,0.8,0.0,9.1,46.6,8.6,ND,ND
AZUCARES SIN GRASA,Gelatina preparada,4 1/2,cucharada,72,72,45,0.9,0.0,10.2,54.0,9.7,ND,ND
AZUCARES SIN GRASA,Gomitas,4,pieza,12,12,42,0.5,0.0,10.2,0.0,7.1,ND,ND
AZUCARES SIN GRASA,Halls nite,1/2,pieza,8,8,31,0.1,0.0,7.6,0.0,5.5,ND,ND
AZUCARES SIN GRASA,Jalea,2,cucharadita,13,13,42,0.0,0.0,10.7,3.3,6.5,ND,ND
AZUCARES SIN GRASA,Jarabe de chocolate,1,cucharada,18,18,49,0.4,0.2,11.4,12.7,8.7,ND,ND
AZUCARES SIN GRASA,Jarabe de sabor para preparar agua,1,cucharada,17,17,41,0.0,0.1,11.2,0.0,ND,ND,ND
AZUCARES SIN GRASA,Jugo de caña de azucar,1/4,taza,60,60,50,0.2,0.1,12.3,ND,ND,ND,ND
AZUCARES SIN GRASA,Jugo de ciruela pasa,1/4,taza,64,64,45,0.4,0.0,11.2,2.6,10.5,ND,ND
AZUCARES SIN GRASA,Jugo de citricos preparados con agua,1/3,taza,80,80,37,0.2,0.0,9.2,3.2,6.5,50.0,4.6
