GRUPO,ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Colesterol (mg),Vitamina A     (µg RE),Calcio (mg),Hierro (mg),Sodio (mg),Selenio (mg)
A.O.A MUY BAJOS EN GRASA,Filete de merluza,45,g,45,45,34,7.5,0.5,0.0,20.7,4.5,5.4,0.4,35.1,6.3
A.O.A MUY BAJOS EN GRASA,Filete de mero,40,g,40,40,34,7.7,0.3,0.0,ND,20.0,2.8,ND,ND,5.6
A.O.A MUY BAJOS EN GRASA,Filete de mojarra,40,g,40,40,40,7.7,1.1,0.0,ND,2.0,6.0,0.3,ND,5.6
A.O.A MUY BAJOS EN GRASA,Filete de pescado,40,g,40,40,36,7.5,0.5,0.0,19.2,4.0,7.1,0.1,32.4,13.1
A.O.A MUY BAJOS EN GRASA,Filete de pescado blanco del Nilo,40,g,40,40,36,7.2,0.6,0.4,6.0,20.0,4.8,0.1,10.0,5.6
A.O.A MUY BAJOS EN GRASA,Filete de res,30,g,30,30,36,7.2,0.8,0.0,14.1,41.7,2.7,0.5,18.0,5.7
A.O.A MUY BAJOS EN GRASA,Filete de robalo,40,g,40,40,35,7.6,0.3,0.0,22.6,6.6,13.2,0.4,27.3,5.6
A.O.A MUY BAJOS EN GRASA,Filete de venado,40,g,40,36,45,7.6,1.4,0.0,40.3,0.0,3.6,1.6,32.4,3.2
A.O.A MUY BAJOS EN GRASA,Filete mignón,1/4,pieza,30,30,36,7.2,0.8,0.0,14.1,41.7,2.7,0.5,18.0,5.7
A.O.A MUY BAJOS EN GRASA,Filete miñón,1/4,pieza,30,30,36,7.2,0.8,0.0,14.1,41.7,2.7,0.5,18.0,5.7
A.O.A MUY BAJOS EN GRASA,Filete tampiqueña,1/4,pieza,30,30,36,7.2,0.8,0.0,14.1,41.7,2.7,0.5,18.0,5.7
A.O.A MUY BAJOS EN GRASA,Gallinita de guinea con piel,30,g,30,25,39,5.8,1.6,0.0,18.4,7.0,2.7,0.2,16.7,4.1
A.O.A MUY BAJOS EN GRASA,Gallinita de guinea sin piel,55,g,55,35,38,7.2,0.9,0.0,21.8,4.2,3.8,0.3,23.9,6.1
A.O.A MUY BAJOS EN GRASA,Guachinango,70,g,70,36,36,7.3,0.5,0.0,13.2,10.7,11.3,0.1,22.7,13.6
A.O.A MUY BAJOS EN GRASA,Guachinango cocido,28,g,28,28,36,7.4,0.5,0.0,13.2,9.9,11.2,0.1,16.0,13.7
A.O.A MUY BAJOS EN GRASA,Guachinando crudo fileteado,35,g,35,35,35,7.2,0.5,0.0,13.0,10.5,11.1,0.1,22.2,13.4
A.O.A MUY BAJOS EN GRASA,Gurrubata cruda,80,g,80,41,41,7.3,1.3,0.0,24.9,7.3,ND,ND,35.5,5.7
A.O.A MUY BAJOS EN GRASA,Halibut cocido,27,g,27,27,38,7.2,0.8,0.0,11.1,14.6,16.2,0.3,18.7,12.6
A.O.A MUY BAJOS EN GRASA,Huachinango crudo fileteado,35,g,35,35,35,7.2,0.5,0.0,13.0,10.5,11.1,0.1,22.2,13.4
A.O.A MUY BAJOS EN GRASA,Huachinango cocido,28,g,28,28,36,7.4,0.5,0.0,13.2,9.9,11.2,0.1,16.0,13.7
A.O.A MUY BAJOS EN GRASA,Huachinango crudo   ,70,g,70,36,36,7.3,0.5,0.0,13.2,10.7,11.3,0.1,22.7,13.6
A.O.A MUY BAJOS EN GRASA,Huevo de iguana,65,g,65,58,37,7.2,0.6,0.0,0.0,245.9,248.2,8.8,0.0,0.0
A.O.A MUY BAJOS EN GRASA,Iguana,100,g,100,30,35,7.3,0.3,0.0,ND,67.5,7.5,1.0,ND,ND
A.O.A MUY BAJOS EN GRASA,Isabelita,70,g,70,36,30,7.4,0.1,0.0,ND,ND,4.4,ND,ND,5.1
A.O.A MUY BAJOS EN GRASA,Jaiba cocida desmenuzada,1/3,taza,47,47,39,8.1,0.6,0.0,36.4,303.8,20.1,0.4,19.1,6.5
A.O.A MUY BAJOS EN GRASA,jaiba cocida entera,75,g,75,40,34,7.0,0.5,0.0,31.5,263.3,17.4,0.3,16.6,5.7
A.O.A MUY BAJOS EN GRASA,jaiba cruda,40,g,40,40,39,7.0,1.0,0.4,60.0,ND,18.0,0.3,40.0,ND
A.O.A MUY BAJOS EN GRASA,Jorobado! lamparosa,70,g,70,36,34,7.4,0.5,0.0,ND,ND,4.6,ND,ND,5.0
A.O.A MUY BAJOS EN GRASA,Jugo de almeja,7,taza,1680,1680,35,7.0,0.3,1.4,49.0,154.0,217.0,5.0,3612.0,68.9
A.O.A MUY BAJOS EN GRASA,Langosta,100,g,100,40,36,7.5,0.4,0.2,38.0,8.5,19.3,0.1,118.6,16.6
A.O.A MUY BAJOS EN GRASA,Langosta cocida,35,g,35,35,34,7.2,0.2,0.5,25.1,9.1,21.4,0.1,133.0,14.9
A.O.A MUY BAJOS EN GRASA,langostino,110,g,110,50,34,7.2,0.6,0.0,78.2,ND,3.8,0.7,181.2,19.8
A.O.A MUY BAJOS EN GRASA,Lenguado,90,g,90,45,34,7.5,0.5,0.0,20.7,4.5,5.4,0.4,35.1,6.3
A.O.A MUY BAJOS EN GRASA,Lenguado fileteado,45,g,45,45,34,7.5,0.5,0.0,20.7,4.5,5.4,0.4,35.1,6.3
A.O.A MUY BAJOS EN GRASA,Liebre,50,g,50,33,44,6.8,1.6,0.0,21.1,ND,3.9,1.0,14.0,12.5
A.O.A MUY BAJOS EN GRASA,Lisa! churra! cabezuda,70,g,70,36,40,7.0,1.3,0.0,17.5,ND,9.3,0.6,28.9,5.0
A.O.A MUY BAJOS EN GRASA,Lomo canadiense,3,rebanada,45,45,45,8.0,1.4,0.4,23.5,0.0,3.9,0.5,604.6,12.8
A.O.A MUY BAJOS EN GRASA,Lomo de venado,40,g,40,36,42,7.3,1.2,0.0,28.8,0.0,6.1,0.3,32.8,3.2
A.O.A MUY BAJOS EN GRASA,Machaca,1/3,sobre,13,13,44,6.0,1.2,0.0,21.4,ND,ND,ND,252.3,ND
A.O.A MUY BAJOS EN GRASA,Machacado de res,15,g,15,15,50,6.7,1.3,0.0,24.1,ND,ND,ND,283.8,ND
A.O.A MUY BAJOS EN GRASA,Maciza de res,25,g,25,25,35,5.2,1.6,0.0,15.5,1.5,1.5,0.6,15.8,4.7
A.O.A MUY BAJOS EN GRASA,Maciza de res en trozo,25,g,25,25,35,5.2,1.6,0.0,15.5,1.5,1.5,0.6,15.8,4.7
A.O.A MUY BAJOS EN GRASA,Medallón de filete,1/4,pieza,30,30,36,7.2,0.8,0.0,14.1,41.7,2.7,0.5,18.0,5.7
