GRUPO,ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Colesterol (mg),Vitamina A     (µg RE),Calcio (mg),Hierro (mg),Sodio (mg),Selenio (mg)
A.O.A MUY BAJOS EN GRASA,Pulpo cocido,25,g,25,25,41,7.5,0.5,1.1,24.1,22.5,26.5,2.4,115.0,22.4
A.O.A MUY BAJOS EN GRASA,Pilopo crudo,45,g,45,45,37,6.7,0.5,1.0,21.7,20.1,23.8,2.4,103.5,20.2
A.O.A MUY BAJOS EN GRASA,Puntas de filete,30,g,30,30,36,7.2,0.8,0.0,14.1,41.7,2.7,0.5,18.0,5.7
A.O.A MUY BAJOS EN GRASA,Puntas de res,30,g,30,30,36,7.2,0.8,0.0,14.1,41.7,2.7,0.5,18.0,5.7
A.O.A MUY BAJOS EN GRASA,Queso Cotagge Lala Light,30,g,30,30,35,6.5,0.5,1.0,ND,ND,ND,ND,200.0,ND
A.O.A MUY BAJOS EN GRASA,Queso cottage,3,cucharada,48,48,43,6.6,0.9,1.7,4.0,10.1,32.9,0.1,195.0,4.9
A.O.A MUY BAJOS EN GRASA,Queso cottage 1% grasa,1/2,taza,57,57,41,7.0,0.6,1.5,2.5,6.3,34.5,0.1,229.5,5.1
A.O.A MUY BAJOS EN GRASA,Queso cottage 2% grasa,3,cucharada,48,48,43,6.6,0.9,1.7,4.0,10.1,32.9,0.1,195.0,4.9
A.O.A MUY BAJOS EN GRASA,Queso cottage bajo en grasa,1/4,taza,57,57,41,7.0,0.6,1.5,2.5,6.3,34.5,0.1,229.5,5.1
A.O.A MUY BAJOS EN GRASA,Queso Mozzarella cero grasa,1,rebanada,28,28,39,8.9,0.0,1.0,5.0,36.0,26.9,0.1,208.0,0.0
A.O.A MUY BAJOS EN GRASA,Queso suizo muy bajo en grasa,1,rebanada,28,28,50,8.0,1.4,1.0,10.0,11.0,26.9,0.1,73.0,0.0
A.O.A MUY BAJOS EN GRASA,Retazo de pescado crudo,350,g,350,35,35,7.2,5.0,0.0,12.8,10.7,11.1,0.1,22.2,4.9
A.O.A MUY BAJOS EN GRASA,Riñones de carnero crudos,40,g,40,36,39,6.5,1.2,0.3,135.0,108.0,14.4,1.5,0.0,78.8
A.O.A MUY BAJOS EN GRASA,Riñones de cerdo cocidos,28,g,28,28,42,7.1,1.3,0.0,134.4,21.8,3.6,1.5,22.4,87.2
A.O.A MUY BAJOS EN GRASA,Riñones de res cocidos,25,g,25,25,40,6.8,1.2,0.0,179.0,0.0,4.8,1.5,23.5,42.0
A.O.A MUY BAJOS EN GRASA,Riñones de ternera cocidos,25,g,25,25,41,6.6,1.4,0.0,197.8,50.3,7.3,0.8,27.5,25.0
A.O.A MUY BAJOS EN GRASA,Roast beef,2 1/2,rebanada,33,33,36,6.6,0.9,0.5,15.6,0.0,1.9,0.6,328.8,6.4
A.O.A MUY BAJOS EN GRASA,Robalo cocido,30,g,30,30,34,7.3,0.3,0.0,22.2,5.6,12.7,0.4,26.1,12.2
A.O.A MUY BAJOS EN GRASA,Robaalo crudo,75,g,75,38,33,7.2,0.3,0.0,21.8,6.5,12.6,0.4,26.1,11.6
A.O.A MUY BAJOS EN GRASA,Robalo fileteado,40,g,40,40,35,7.6,0.3,0.0,22.8,6.8,13.2,0.4,27.3,12.1
A.O.A MUY BAJOS EN GRASA,Salmón ahumado,35,g,35,35,41,6.4,1.5,0.0,8.1,9.1,3.7,0.3,274.4,11.3
A.O.A MUY BAJOS EN GRASA,Sast orugas,65,g,65,65,35,7.0,0.8,0.0,ND,14.3,35.1,2.7,ND,ND
A.O.A MUY BAJOS EN GRASA,Surimi,2/3,barra,40,40,39,6.0,0.4,2.7,11.9,7.9,3.7,0.1,56.6,11.1
A.O.A MUY BAJOS EN GRASA,Suirimi imitacion camaron,40,g,40,40,40,4.9,0.6,3.7,14.6,8.0,7.5,0.2,282.0,9.2
A.O.A MUY BAJOS EN GRASA,Tampiqueña,1/4,pieza,30,30,36,7.2,0.8,0.0,14.1,41.7,2.7,0.5,18.0,5.7
A.O.A MUY BAJOS EN GRASA,Tampiqueña de filete,1/4,pieza,30,30,36,7.2,0.8,0.0,14.1,41.7,2.7,0.5,18.0,5.7
A.O.A MUY BAJOS EN GRASA,Trucha fresca,35,g,35,35,42,7.2,1.2,0.0,20.6,6.6,23.5,0.2,10.7,
A.O.A MUY BAJOS EN GRASA,Venado cocido    (carne magra),25,g,25,23,42,6.0,1.8,0.0,22.1,0.0,3.2,0.8,17.6,2.3
A.O.A MUY BAJOS EN GRASA,Venado crudo         (carne magra),30,g,30,27,42,5.9,1.9,0.0,21.6,0.0,3.0,0.8,20.3,2.7
