GRUPO,ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Fibra (g),Vitamina A     (µg RE),Acido Ascórbico   (mg),Acido Fólico (µg),Hierro NO HEM (mg),Potasio (mg),Azúcar por equivalente (g),indice glicémuco,Carga glicémica
FRUTAS,Toronjas en almibar,1/2,taza,127,127,76,0.7,0.2,19.6,0.5,0.0,27.0,11.5,0.5,164.0,19.1,ND,ND
FRUTAS,Tuna,2,pieza,250,138,56,1.0,0.7,13.2,5.0,6.9,19.3,0.0,0.4,302.5,0.0,ND,ND
FRUTAS,Tuna cardona,2,pieza,250,138,56,1.0,0.7,13.2,5.0,6.9,30.3,0.0,3.6,302.5,0.0,ND,ND
FRUTAS,Tuna picada,1,taza,150,150,62,1.1,0.8,14.4,5.4,7.5,21.0,0.0,0.5,330.0,0.0,ND,ND
FRUTAS,Tuna roja,2,pieza,250,138,56,1.0,0.7,13.2,5.0,6.9,30.3,0.0,3.6,302.5,0.0,ND,ND
FRUTAS,Uva,18,pieza,126,86,61,0.6,0.5,15.3,1.1,1.7,9.4,3.4,0.2,158.5,0.0,43.0,6.6
FRUTAS,Uva blanca,1,taza,92,87,59,0.6,0.3,15.0,0.8,8.6,3.8,3.8,0.3,167.2,14.3,ND,ND
FRUTAS,Uva con semilla,1,taza,10,114,76,0.7,0.4,19.6,1.0,7.8,12.1,4.3,0.3,210.9,18.7,ND,ND
FRUTAS,Uva roja,1,taza,120,114,76,0.7,0.4,19.6,1.0,7.8,12.1,4.3,0.3,210.9,18.7,ND,ND
FRUTAS,Uva sin semilla,1,taza,92,87,55,0.6,0.3,15.0,0.9,8.6,3.8,3.8,0.3,167.2,14.3,ND,ND
FRUTAS,Uva verde,1,taza,92,87,55,0.6,0.3,15.0,0.9,8.6,3.8,3.8,0.3,167.2,14.3,ND,ND
FRUTAS,Uva verde sin semilla,1,taza,92,87,55,0.6,0.3,15,0.9,8.6,3.8,3.8,0.3,167.2,14.3,ND,ND
FRUTAS,Uvas enlatadas en agua,1/2,taza,123,123,49,0.6,0.2,12.6,0.8,2.5,1.0,3.7,1.2,131.0,11.9,28,3.5
FRUTAS,Xocoyol,900,g,900,225,56,0.5,0.2,14.9,2.9,873,58.5,0.0,9.7,0.0,0.0,ND,ND
FRUTAS,Zapote,1/4,pieza,56,51,68,1.1,0.3,17.1,1.3,20.7,10.1,0.0,0.5,174.2,0.0,ND,ND
FRUTAS,Zapote amarillo,1/2,pieza,152,94,74,1.1,0.5,18.8,1.0,16.9,55.4,0.0,2.0,44.1,0.0,ND,ND
FRUTAS,Zapote blanco,1/2,pieza,152,115,81,2.0,0.8,18.5,1.4,8.1,41.5,0.0,0.2,0.0,0.0,ND,ND
FRUTAS,Zapote borracho,1/4,pieza,75,45,63,0.6,0.4,16.3,0.5,11.3,18.0,0.0,0.3,0.0,0.0,ND,ND
FRUTAS,Zapote negro,1/2,pieza,150,93,52,0.7,0.1,13.5,1.1,9.3,77.2,0.0,1.5,0.0,0.0,ND,ND
FRUTAS,Zapote negro limpio,1/2,taza,115,115,64,0.9,0.1,16.7,1.4,11.5,95.5,0.0,1.8,0.0,0.0,ND,ND
FRUTAS,Zarzamora,1,taza,150,144,75,1.0,0.9,18.4,5.9,56.2,30.2,0.0,0.7,282.2,0.0,ND,ND
FRUTAS,Zarzamora congelada sin azúcar,1/2,taza,76,76,49,0.9,0.3,11.9,3.8,4.5,2.5,25.7,0.6,105.5,8.1,ND,ND
FRUTAS,Zarzamora en almibar,1/4,taza,64,64,59,0.9,0.1,14.8,2.2,7.0,1.8,17.3,0.4,63.3,12.6,ND,ND
