GRUPO,ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Colesterol (mg),Vitamina A     (µg RE),Calcio (mg),Hierro (mg),Sodio (mg),Selenio (mg)
A.O.A.BAJO EN GRASA,Hígado de res frito,25,g,25,25,54,6.7,2.0,2.0,120.5,2682.3,2.8,1.6,26.5,14.3
A.O.A.BAJO EN GRASA,Hueva de pescado cocida,25,g,25,25,51,7.2,2.1,0.5,119.8,22.8,7.0,0.2,29.3,12.9
A.O.A.BAJO EN GRASA,Huevo congelado sin colesterol,4,cucharada,60,60,96,6.8,6.7,1.9,1.0,81.0,44.0,1.2,120.0,2.0
A.O.A.BAJO EN GRASA,Huevo de tortuga,50,g,50,45,51,5.6,2.8,0.4,0.0,28.9,27.6,0.7,0.0,0.0
A.O.A.BAJO EN GRASA,Jamón bajo en grasa,2,rebanada,42,42,56,8.1,2.1,0.5,19.5,0.0,3.0,0.3,600.0,7.3
A.O.A.BAJO EN GRASA,Jamón de pavo,2,rebanada,42,42,54,8.0,2.1,0.1,23.6,0.0,4.4,1.2,418.5,7.3
A.O.A.BAJO EN GRASA,Jamón de pierna,2,rebanada,42,42,56,8.1,2.1,0.5,19.5,0.0,3.0,0.3,600.0,12.3
A.O.A.BAJO EN GRASA,Lomo de cerdo,40,g,40,40,56,7.9,2.5,0.0,26.0,0.4,2.4,0.5,32.8,12.8
A.O.A.BAJO EN GRASA,Lomo de cerdo en trozos,40,g,40,40,56,7.9,2.5,0.0,26.0,0.4,2.4,0.5,32.8,12.8
A.O.A.BAJO EN GRASA,Maciza de carnero,50,g,50,40,54,7.6,2.4,0.0,26.0,0.0,2.8,0.9,30.0,15.2
A.O.A.BAJO EN GRASA,Maciza de ternera,35,g,35,35,55,6.9,2.8,0.0,31.5,0.0,3.9,1.1,31.5,5.5
