GRUPO,ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Colesterol (mg),Vitamina A     (µg RE),Calcio (mg),Hierro (mg),Sodio (mg),Selenio (µg)
A.O.A.ALTO EN GRASA,Retazo de ternera,350,g,350,35,104,5.6,8.9,0.0,25.9,4.2,2.8,0.6,20.7,0.9
A.O.A.ALTO EN GRASA,Rib eye,30,g,30,30,82,5.3,6.6,0.0,20.4,0.0,3.9,0.6,16.8,0.9
A.O.A.ALTO EN GRASA,Salami,3,rebanada,27,27,104,6.3,8.1,1.0,27.0,0.0,2.2,0.4,542.7,1.6
A.O.A.ALTO EN GRASA,Salami de ternera,6,rebanada,42,42,110,6.4,8.8,1.1,27.4,0.0,3.7,0.9,493.0,1.0
A.O.A.ALTO EN GRASA,Salchicha,3/4,pieza,34,34,114,6.6,9.6,0.0,28.4,4.1,4.4,0.5,252.8,0.0
A.O.A.ALTO EN GRASA,Salchicha ahumada,1/2,pieza,34,34,109,4.1,9.8,0.8,19.7,3.7,4.1,0.3,309.7,0.0
A.O.A.ALTO EN GRASA,Salchicha de pollo,3/4,pieza,34,34,100,6.2,8.1,0.0,23.6,10.5,0.7,0.4,344.3,0.9
A.O.A.ALTO EN GRASA,Salchicha de puerco,3/4,pieza,34,34,114,6.6,9.6,0.0,28.4,4.1,4.4,0.5,252.8,0.0
A.O.A.ALTO EN GRASA,Salchicha de ternera,1/2,pieza,29,29,90,3.4,8.1,0.5,17.5,0.0,5.5,0.4,292.5,0.5
A.O.A.ALTO EN GRASA,Salchicha vienna,3,pieza,48,48,110,5.0,9.3,1.2,41.8,0.0,4.8,0.4,465.1,0.9
A.O.A.ALTO EN GRASA,Salchicha vienna ahumada,1 1/2,pieza,41,41,93,4.3,7.9,1.1,35.5,0.0,4.1,0.4,392.4,0.7
A.O.A.ALTO EN GRASA,Sesos de res cocidos,60,g,60,60,91,7.0,6.3,0.9,1860.0,0.0,5.4,1.4,64.8,1.5
A.O.A.ALTO EN GRASA,Sesos de res crudos,75,g,75,74,105,8.0,7.6,0.8,2212.4,0.0,31.6,1.9,92.6,1.7
A.O.A.ALTO EN GRASA,Sesos de res fritos,55,g,55,55,108,6.9,8.7,0.0,1097.3,0.0,5.0,1.2,86.9,1.3
A.O.A.ALTO EN GRASA,T-bone con grasa cocido,35,g,35,32,96,7.4,7.2,0.0,20.5,0.0,2.2,1.0,21.1,0.9
A.O.A.ALTO EN GRASA,Tofu! frito,40,g,40,40,108,6.8,8.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0
A.O.A.ALTO EN GRASA,Tripas de res,55,g,55,50,109,5.6,9.5,0.0,74.3,26.2,5.9,0.9,22.8,0.0
A.O.A.ALTO EN GRASA,Ubre ,45,g,45,45,105,6.9,8.4,0.0,0.0,0.0,31.5,1.2,0.0,0.0
A.O.A.ALTO EN GRASA,Velveta,35,g,35,35,100,6.3,7.5,3.8,25.0,0.0,187.5,0.0,525.0,0.0
A.O.A.ALTO EN GRASA,Yema,2,pieza,34,34,108,5.4,9.0,1.2,419.6,126.1,43.9,0.9,16.3,3.0
A.O.A.ALTO EN GRASA,Yema de huevo,2,pieza,34,34,108,5.4,9.0,1.2,419.6,126.1,43.9,0.9,16.3,3.0
A.O.A.ALTO EN GRASA,Yema de huevo en polvo,3,cucharada,15,15,103,5.3,8.6,0.6,360.8,203.2,43.9,0.8,20.9,4.6
