GRUPO,ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Fibra (g),Vitamina A     (µg RE),Acido Ascórbico (mg),Acido Fólico (µg),Hierro NO HEM (mg),Potasio (mg),Indice glicémico,Carga glicémica
VERDURAS,Calabacita redonda cruda,1,pieza,100,79,18,1.4,0.1,2.9,1.2,10.7,10.3,20.5,0.4,159.6,ND,ND
VERDURAS,Calabacita de Castilla cocida,1/2,taza,110,110,22,0.8,0.1,5.4,1.2,275.0,5.2,9.9,0.6,253.0,ND,ND
VERDURAS,Cebolla blanca rebanada,1/2,taza,58,58,23,0.6,0.1,5.4,1.0,0.0,4.3,10.9,0.1,84.0,ND,ND
VERDURAS,Cebolla cocida,1/4,taza,53,53,23,0.7,0.1,5.3,0.7,0.0,2.7,7.9,0.1,87.0,ND,ND
VERDURAS,Cebolla morada rebanada,1/2,taza,58,58,20,0.5,0.1,4.4,0.7,0.0,6.3,ND,0.8,90.3,ND,ND
VERDURAS,Cebollita de cambray sin raíz,3,pieza,75,72,23,1.3,0.1,5.3,1.9,36.0,13.5,46.1,1.1,198.7,ND,ND
VERDURAS,Cebollita en salmuera,1/2,taza,95,95,24,0.9,0.2,6.7,1.6,0,0.0,0.0,0,0.0,ND,ND
VERDURAS,Champiñon cocido entero,1/2,taza,78,78,20,2.8,0.3,3.2,1.4,0,0.0,15.6,0.2,308.9,ND,ND
VERDURAS,Champiñon cocido rebanado,1/2,taza,70,70,18,2.5,0.2,2.8,1.3,0,0.0,14.0,0.2,277.2,ND,ND
VERDURAS,Champiñon crudo entero,1,taza,96,93,20,2.9,0.3,3.1,0.9,0,2.0,14.9,0.5,296.1,ND,ND
VERDURAS,Champíñon crudo rebanado,1 1/2,taza,105,105,23,3.2,0.4,3.4,1.1,0,2.2,16.8,0.5,333.9,ND,ND
VERDURAS,Chayote cocido picado,1/2,taza,80,80,19,0.5,0.4,4.1,2.2,1.6,6.4,14.4,0.2,138.4,ND,ND
VERDURAS,Chayote crudo,1/2,pieza,102,100,19,0.8,0.1,4.5,1.7,0.0,7.7,93.5,0.3,125.6,ND,ND
VERDURAS,Chepil crudo,70,g,70,41,26,2.8,0.2,3.0,0.9,135.4,20.3,ND,1.9,ND,ND,ND
VERDURAS,Chícharo cocido sin vaina,1/4,taza,40,40,34,2.1,0.1,6.1,2.2,16.0,5.7,25.2,0.6,108.4,48.0,2.9
VERDURAS,Chicharo cocido con vaina,1/2,taza,73,28,22,1.5,0.1,4.0,1.4,10.5,11.0,17.9,0.4,67.2,48.0,1.9
VERDURAS,Chicharo en vaina cocido,1/3,taza,53,53,21,1.7,0.1,3.4,1.5,27.7,25.5,15.5,1.1,128.0,48.0,1.7
VERDURAS,Chicoria cruda,140,g,140,120,24,1.4,0.2,4.1,1.1,123.4,8.4,171.0,1.0,378.1,ND,ND
VERDURAS,Chalacas crudas,3,pieza,90,76,24,1.1,0.2,5.5,0.7,6.8,134.6,17.4,3.0,257.0,ND,ND
VERDURAS,Chilacayote crudo,150,g,150,135,19,1.6,0.3,3.6,0.4,8.1,9.5,ND,0.8,ND,ND,ND
VERDURAS,Chile chilaca,2,pieza,60,50,20,0.8,0.2,3.7,0.5,48.9,89.7,11.6,2.0,171.4,ND,ND
VERDURAS,Chile chipotle seco,2,pieza,10,8,29,1.2,0.5,4.8,0.6,19.3,0.0,ND,0.5,ND,ND,ND
VERDURAS,Chile costeño,4,pieza,64,54,17,0.9,0.1,3.9,1.1,7.0,135.5,12.4,1.8,182.8,ND,ND
VERDURAS,Chile cristalino,4,pieza,64,54,20,0.9,0.1,3.9,1.1,3.5,135.5,12.4,1.8,182.8,ND,ND
VERDURAS,Chile cuaresmeño,2,pieza,60,50,16,0.8,0.2,3.7,0.5,4.5,89.7,11.6,2.0,171.4,ND,ND
VERDURAS,Chile de árbol seco,4,pieza,8,7,21,0.9,0.4,4.3,2.1,70.9,3.7,0.0,0.3,0.0,ND,ND
VERDURAS,Chile habanero,5,pieza,80,67,25,1.5,0.5,3.6,1.1,19.8,63.2,15.5,1.6,228.5,ND,ND
VERDURAS,Chile jalapeño,6,pieza,90,78,23,1.1,0.5,4.6,2.2,31.3,34.7,36.8,0.5,168.3,ND,ND
