GRUPO,ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Sodio (mg)
ALIMENTOS LIBRES EN ENERGIA,Estragón,1,cucharadita,2,2,6,0.5,0.1,1.0,1.0
ALIMENTOS LIBRES EN ENERGIA,Estragón molido,1,cucharadita,2,2,6,0.5,0.1,1.0,1.0
ALIMENTOS LIBRES EN ENERGIA,Estragón seco,1,cucharadita,2,2,6,0.5,0.1,1.0,1.0
ALIMENTOS LIBRES EN ENERGIA,Extracto de vainilla ,1,cucharadita,5,5,8,0.0,0.0,0.4,0.0
ALIMENTOS LIBRES EN ENERGIA,Flor de jamaica,1,taza,37,37,1,0.0,0.0,0.2,0.1
ALIMENTOS LIBRES EN ENERGIA,Gelatina de dieta,1/4,taza,60,60,4,0.6,0.0,0.4,28.7
ALIMENTOS LIBRES EN ENERGIA,Gelatina sin azúcar preparada,1,taza,121,121,10,1.0,0.0,0.0,56.0
ALIMENTOS LIBRES EN ENERGIA,Gengibre,3,cucharadita,6,6,4,0.1,0.1,0.9,0.8
ALIMENTOS LIBRES EN ENERGIA,Gengibre en polvo,1/2,cucharada,3,3,9,0.2,0.2,1.9,0.9
ALIMENTOS LIBRES EN ENERGIA,Gengibre fresco,1,cucharada,10,10,7,0.2,0.1,1.5,1.3
ALIMENTOS LIBRES EN ENERGIA,Grenetina sin sabor,1/4,sobre,3,3,9,1.5,0.0,0.8,3.8
ALIMENTOS LIBRES EN ENERGIA,Hierbabuena,10,g,10,10,4,0.2,0.2,0.7,0.0
ALIMENTOS LIBRES EN ENERGIA,Hierbas de olor,1,cucharadita,2,2,5,0.1,0.2,1.4,2.0
ALIMENTOS LIBRES EN ENERGIA,Hierbas finas,1,cucharadita,2,2,5,0.1,0.2,1.4,2.0
ALIMENTOS LIBRES EN ENERGIA,Hierbas molidas,1,cucharadita,2,2,5,0.1,0.2,1.4,2.0
ALIMENTOS LIBRES EN ENERGIA,Hinojo,10,g,10,10,3,0.1,0.0,0.7,5.2
ALIMENTOS LIBRES EN ENERGIA,Hoja de aguacate,1,pieza,3,3,1,0.1,0.0,0.1,0.0
ALIMENTOS LIBRES EN ENERGIA,Hojas de laurel,1,pieza,1,1,3,0.1,0.1,0.7,0.0
ALIMENTOS LIBRES EN ENERGIA,Jamaica,1,taza,37,1,1,0.0,0.0,0.2,0.1
ALIMENTOS LIBRES EN ENERGIA,Jengibre,3,cucharadita,6,6,4,0.1,0.1,0.9,0.8
ALIMENTOS LIBRES EN ENERGIA,Jengibre fresco,1,cucharada,6,6,4,0.1,0.1,0.9,0.8
ALIMENTOS LIBRES EN ENERGIA,Jengibre molido,1,cucharadita,2,2,7,0.2,0.1,1.4,1.0
ALIMENTOS LIBRES EN ENERGIA,Jengibre rallado,1,cucharadita,2,2,1,0.0,0.0,0.3,0.3
ALIMENTOS LIBRES EN ENERGIA,Koll-Aid en polvo sin azúcar,1,sobre,1,1,5,0.0,0.0,0.0,2.0
ALIMENTOS LIBRES EN ENERGIA,Laurel,2,hoja,2,2,6,0.2,0.2,1.4,0.0
ALIMENTOS LIBRES EN ENERGIA,Laurel fresco,2,hoja,2,2,6,0.2,0.2,1.4,0.0
ALIMENTOS LIBRES EN ENERGIA,Laurel troceado,2,cucharadita,2,2,6,0.2,0.2,1.4,0.0
ALIMENTOS LIBRES EN ENERGIA,Levadura comprimida,1/2,sobre,9,9,9,0.7,0.2,1.6,2.5
ALIMENTOS LIBRES EN ENERGIA,Levadura en polvo,1/4,sobre,2,2,5,0.7,0.1,0.7,1.0
ALIMENTOS LIBRES EN ENERGIA,Levadura fresca,2,g,2,2,5,0.9,0.0,0.9,2.1
ALIMENTOS LIBRES EN ENERGIA,Levadura seca,1/2,sobre,4,4,11,1.4,0.2,1.4,2.0
ALIMENTOS LIBRES EN ENERGIA,Limón,1/2,pieza,34,34,10,0.3,0.1,3.6,0.5
ALIMENTOS LIBRES EN ENERGIA,Limón agrio,1/2,pieza,14,9,2,0.1,0.0,0.9,0.3
ALIMENTOS LIBRES EN ENERGIA,Limón sin semilla ,1/2,pieza,18,11,2,0.1,0.0,1.2,0.3
ALIMENTOS LIBRES EN ENERGIA,Manzanilla fresca,10,G,10,10,4,0.2,0.2,0.7,0.0
ALIMENTOS LIBRES EN ENERGIA,Manzanilla seca,1,bolsa,2,2,0,0.0,0.0,0.0,0.0
ALIMENTOS LIBRES EN ENERGIA,Mejorana,1,cucharadita,1,1,3,0.1,0.1,0.6,1.0
ALIMENTOS LIBRES EN ENERGIA,Menta,1,cucharadita,1,1,5,0.0,0.0,0.5,5.0
ALIMENTOS LIBRES EN ENERGIA,Menta fresca,1,cucharadita,1,1,1,0.1,0.0,0.2,0.0
ALIMENTOS LIBRES EN ENERGIA,Menta molida,1,cucharadita,2,2,6,0.2,0.2,1.2,2.0
ALIMENTOS LIBRES EN ENERGIA,Monster Lo-Carb Energía,1/3,lata,158,158,7,0.0,0.0,2.0,118.8
ALIMENTOS LIBRES EN ENERGIA,Mostaza,1,cucharadita,5,5,5,0.3,0.3,0.3,65.0
ALIMENTOS LIBRES EN ENERGIA,Mostaza Dijón,1,cucharadita,5,5,5,0.3,0.3,0.3,65.0
ALIMENTOS LIBRES EN ENERGIA,Mostaza en polvo,1,cucharadita,3,3,9,0.5,0.6,0.3,0.3
ALIMENTOS LIBRES EN ENERGIA,Nuez moscada,1,cucharadita,2,2,10,0.1,0.7,1.0,0.0
ALIMENTOS LIBRES EN ENERGIA,Nuez moscada molida,1,cucharadita,2,2,10,0.1,0.7,1.0,0.0
ALIMENTOS LIBRES EN ENERGIA,Nutra sweet,1,sobre,1,1,0,0.0,0.0,0.0,0.0
ALIMENTOS LIBRES EN ENERGIA,Orange crush diet,1/2,lata,178,178,10,0.0,0.0,2.5,22.2
ALIMENTOS LIBRES EN ENERGIA,Orégano ,1,cucharadita,2,2,6,0.2,0.2,1.3,0.0
ALIMENTOS LIBRES EN ENERGIA,Orégano molido,1,cucharadita,2,2,5,0.2,0.2,1.0,0.0
