grupo,nombre,aporte,cantidad
A.O.A.BAJO EN GRASA,Bonito,Energia (Kcal),51
A.O.A.BAJO EN GRASA,Bonito,Proteina (g),7.3
A.O.A.BAJO EN GRASA,Bonito,Lípidos (g),2.2
A.O.A.BAJO EN GRASA,Bonito,Hidratos de carbono (g),0.0
A.O.A.BAJO EN GRASA,Bonito,Colesterol (mg),0.0
A.O.A.BAJO EN GRASA,Bonito,Vitamina A     (µg RE),0.0
A.O.A.BAJO EN GRASA,Bonito,Calcio (mg),8.0
A.O.A.BAJO EN GRASA,Bonito,Hierro (mg),0.2
A.O.A.BAJO EN GRASA,Bonito,Sodio (mg),12.2
A.O.A.BAJO EN GRASA,Bonito,Selenio (mg),4.3
A.O.A.BAJO EN GRASA,Bonito en aceite,Cantidad sugerida,25
A.O.A.BAJO EN GRASA,Bonito en aceite,Unidad,g
A.O.A.BAJO EN GRASA,Bonito en aceite,Peso bruto redondeado (g),25
A.O.A.BAJO EN GRASA,Bonito en aceite,Peso neto (g),25
A.O.A.BAJO EN GRASA,Bonito en aceite,Energia (Kcal),55
A.O.A.BAJO EN GRASA,Bonito en aceite,Proteina (g),7.3
A.O.A.BAJO EN GRASA,Bonito en aceite,Lípidos (g),2.9
A.O.A.BAJO EN GRASA,Bonito en aceite,Hidratos de carbono (g),0.0
A.O.A.BAJO EN GRASA,Bonito en aceite,Colesterol (mg),11.7
A.O.A.BAJO EN GRASA,Bonito en aceite,Vitamina A     (µg RE),0.0
A.O.A.BAJO EN GRASA,Bonito en aceite,Calcio (mg),7.2
A.O.A.BAJO EN GRASA,Bonito en aceite,Hierro (mg),0.3
A.O.A.BAJO EN GRASA,Bonito en aceite,Sodio (mg),0.0
A.O.A.BAJO EN GRASA,Bonito en aceite,Selenio (mg),4.0
A.O.A.BAJO EN GRASA,Bonito filereado,Cantidad sugerida,30
A.O.A.BAJO EN GRASA,Bonito filereado,Unidad,g
A.O.A.BAJO EN GRASA,Bonito filereado,Peso bruto redondeado (g),30
A.O.A.BAJO EN GRASA,Bonito filereado,Peso neto (g),30
A.O.A.BAJO EN GRASA,Bonito filereado,Energia (Kcal),50
A.O.A.BAJO EN GRASA,Bonito filereado,Proteina (g),7.2
A.O.A.BAJO EN GRASA,Bonito filereado,Lípidos (g),2.2
A.O.A.BAJO EN GRASA,Bonito filereado,Hidratos de carbono (g),0.0
A.O.A.BAJO EN GRASA,Bonito filereado,Colesterol (mg),0.0
A.O.A.BAJO EN GRASA,Bonito filereado,Vitamina A     (µg RE),0.0
A.O.A.BAJO EN GRASA,Bonito filereado,Calcio (mg),7.8
A.O.A.BAJO EN GRASA,Bonito filereado,Hierro (mg),0.2
A.O.A.BAJO EN GRASA,Bonito filereado,Sodio (mg),12.0
A.O.A.BAJO EN GRASA,Bonito filereado,Selenio (mg),4.2
A.O.A.BAJO EN GRASA,Cabeza de carnero cocida,Cantidad sugerida,495
A.O.A.BAJO EN GRASA,Cabeza de carnero cocida,Unidad,g
A.O.A.BAJO EN GRASA,Cabeza de carnero cocida,Peso bruto redondeado (g),495
A.O.A.BAJO EN GRASA,Cabeza de carnero cocida,Peso neto (g),50
A.O.A.BAJO EN GRASA,Cabeza de carnero cocida,Energia (Kcal),55
A.O.A.BAJO EN GRASA,Cabeza de carnero cocida,Proteina (g),7.0
A.O.A.BAJO EN GRASA,Cabeza de carnero cocida,Lípidos (g),2.8
A.O.A.BAJO EN GRASA,Cabeza de carnero cocida,Hidratos de carbono (g),0.0
A.O.A.BAJO EN GRASA,Cabeza de carnero cocida,Colesterol (mg),32.2
A.O.A.BAJO EN GRASA,Cabeza de carnero cocida,Vitamina A     (µg RE),0.0
A.O.A.BAJO EN GRASA,Cabeza de carnero cocida,Calcio (mg),8.4
